shapeid,partid,x,y,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
"516",,23.9235657440001,52.8178248230001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"687","3","0","516",0.65003413359327,79.15592588561761
"517",,23.92447573,52.817999189,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"688","3","0","517",0.65096067448392,79.01861981205279
"518",,23.928965943,52.8188814010001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"689","3","0","518",0.65553673291868,106.23427984260212
"519",,23.9295711140001,52.8183054240001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"690","3","0","519",0.65637218575623,133.58264949063278
"520",,23.9296042340001,52.8182739050001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"691","3","0","520",0.65641790644916,106.73609406440603
"521",,23.9296300180001,52.8182785020001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"692","3","0","521",0.65644409704031,79.84577387052221
"522",,23.9296923850001,52.8182897230001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"693","3","0","522",0.65650746543567,102.47932351627482
"523",,23.9318182390001,52.8167924240001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"694","3","0","523",0.65910768841162,101.98622190890879
"524",,23.932331171,52.8168938540001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"695","3","0","524",0.65963055290794,78.81334752587330
"525",,23.9351918200001,52.8174596360001,854.000000000000000,"854","1",Białowieski Park Narodowy,Białowieski Park Narodowy,Park Narodowy,National Park,National,II,Not Applicable,"0",0.000000000000000,0.000000000000000,105.293099999999995,104.974307287000002,Not Applicable,0.000000000000000,Designated,"1932",Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,"1839",Not Reported,POL,POL,"696","3","0","525",0.66254661565980,78.81418840889626
